Charity Number,Charity Name,Registered Date,Known As,Charity Status,Notes,Postcode,Constitutional Form,Previous Constitutional Form 1,Geographical Spread,Main Operating Location,Purposes,Beneficiaries,Activities,Objectives,Principal Office/Trustees Address,Website,Most recent year income,Most recent year expenditure,Mailing cycle,Year End,Donations and legacies income,Charitable activities income,Other trading activities income,Investments income,Other income,Raising funds spending,Charitable activities spending,Other spending,Parent charity name,Parent charity number,Parent charity country of registration,Designated religious body,Regulatory Type,_invalid_reason
SC043704,Clydebank Community Sports Hub,11/01/2013 00:00,,Active,,G81 1RL,Company (the charity is registered with Companies House),,More than one local authority area in Scotland,West Dunbartonshire,"'The advancement of public participation in sport','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'Children / young people','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"4.1 To promote and encourage community participation in healthy recreation activities through the provision of facilities for playing sports including but not limited to Rugby, Tae Kwan Do, Football and Gaelic Football; 4.2 To establish a inclusive and accessible community hub that provides opportunities for the local people to engage in educational and recreational activities that promotes health, well-being, learning and social interaction.","60 Dean Street, Whitecrook, Clydebank",,247374,295709,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043719,Muthill Village Trust,21/01/2013 00:00,,Active,,PH5 2AS,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Perth & Kinross,"'The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The advancement of environmental protection or improvement'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"1.1.To provide within Muthill recreational facilities, or organise recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended 1.2.To advance environmental protection and improvement in the community through the provision, maintenance and/or improvement of public open space and other public amenities and other environmental and regeneration projects (but subject to appropriate safeguards to ensure that the public benefits so arising clearly outweigh any private benefit thereby conferred on private landowners) 1.3.To advance heritage and/ or preserve, for the benefit of the general public, the historical, architectural and constructional heritage that may exist in the Muthill area in buildings (including any structure or erection, and any part of a building as so defined) of particular beauty or historical, architectural or constructional interest 1.4.To advance citizenship and/or community development (including the promotion of civic responsibility and the promotion of the voluntary sector and/or the effectiveness or efficiency of charities) ","James House, Wardside, Muthill, Perthshire",James House,72377,64539,2020,31/01/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043733,ReUseIt Furniture Re-use Project(subject to insolvency proceedings),24/01/2013 00:00,,Not Monitored,,KA13 6SA,SCIO (Scottish Charitable Incorporated Organisation),,More than one local authority area in Scotland,East Renfrewshire,"'The prevention or relief of poverty','The advancement of education','The advancement of citizenship or community development','The advancement of environmental protection or improvement'","'Children / young people','Older people','People with disabilities or health problems','Other defined groups','No specific group, or for the benefit of the community','Other charities / voluntary bodies'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The organisation is established for charitable purposes only, and in particular, the objects are: 4.1 to promote and raise awareness of environmental protection and improvement; and 4.2 to relieve poverty; and 4.3 to advance education for disadvantaged and excluded individuals;, and 4.4 to advance citizenship or community development and promote civic responsibility ","1 Pennyburn Road, Kilwinning, Ayrshire",,105230,114476,2016,31/03/2016,,,,,,,,,,,,No,Standard,Invalid or no website
SC043747,93rd Braes Scout Group,30/01/2013 00:00,,Active,,FK1 2HR,Unincorporated association,,"Wider, but within one local authority area",Falkirk,"'The advancement of education','The advancement of citizenship or community development'","'Children / young people','People with disabilities or health problems','People of a particular ethnic or racial origin'",'It carries out activities or services itself',"Scouting exists to actively engage and support young people in their personal development, empowering them to make a positive contribution to society.","Gatehouse, Main Street, Standburn, Falkirk, Stirlingshire",,50166,68322,2020,31/03/2020,,,,,,,,,The Scout Association,SC017511,Scotland,No,Standard,Invalid or no website
SC043752,Fairfield Community Sports Hub,31/01/2013 00:00,,Active,,DD4 0JX,SCIO (Scottish Charitable Incorporated Organisation),,"A specific local point, community or neighbourhood",Dundee City,"'The advancement of public participation in sport','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"4.1 The advancement of public participation in sport.  4.2 The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended (but these facilities or activities must be (i) primarily intended for persons who have need of them by reason of their age, ill-health, disability, financial hardship or other disadvantage, or (ii) available to members of the public at large or to male or female members of the public at large","Drumgeith Pavilion, Drumgeith Road, Dundee",,103717,74438,2020,31/05/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043761,RockSolid Dundee,05/02/2013 00:00,,Active,,DD4 8RD,SCIO (Scottish Charitable Incorporated Organisation),,"A specific local point, community or neighbourhood",Dundee City,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people','It carries out activities or services itself',"The organisation is established for charitable purposes only, and in particular, the objects are: 4.1 To advance education by the delivery of learning opportunities through the provision of community programmes for people in the East End of Dundee and wider city area. 4.2 To organize and support recreational activities for people, particularly those suffering financial hardships, with the objective of alleviating the impact of poverty and reducing inequalities within the East End of Dundee and wider city area. 4.3 To advance citizenship or community development through encouraging volunteering by people in the East End of Dundee and wider city area. 4.4 Any other similar purposes that may reasonably be regarded as analogous to any of the above purposes.","Douglas and Mid Craigie Parish Church, Balbeggie Place, Dundee",,339048,340083,2020,31/03/2020,252489,83708,2851,0,0,0,340083,0,,,,No,Standard,Invalid or no website
SC043773,Westhill & District Community Minibus (SCIO),08/02/2013 10:37,,Active,,AB32 6WE,SCIO (Scottish Charitable Incorporated Organisation),,More than one local authority area in Scotland,Aberdeenshire,'The advancement of citizenship or community development',"'Children / young people','Older people','Other defined groups','Other charities / voluntary bodies'",'It carries out activities or services itself',"To provide an affordable minibus hire service to schools, clubs and other not-for-profit clubs or organisations in the Westhill area.","11 Fare Park Drive, Westhill, Aberdeenshire",,33012,41612,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC043814,Glenbervie & District Community Association SCIO,27/02/2013 00:00,Glenbervie & District Community Association,Active,,AB39 3YT,SCIO (Scottish Charitable Incorporated Organisation),,"A specific local point, community or neighbourhood",Aberdeenshire,'The advancement of citizenship or community development',"'No specific group, or for the benefit of the community'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The organisation is established for charitable purposes only, and in particular, for the advancement of Active Citizenship and Community Development amongst the people and communities of Glenbervie and Drumlithie in Aberdeenshire.","Finella House, Station Road, Drumlithie",,33899,33899,2020,30/04/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043857,The Good Shepherd Close Support,14/03/2013 00:00,,Active,,G2 6AH,Company (the charity is registered with Companies House),,Operations cover all or most of Scotland,Glasgow City,"'The advancement of education','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Children / young people','It carries out activities or services itself',The charitable purposes of the Company are: To provide support and the transition resource for young people leaving the Good Shepherd Centre Bishopton (secure unit) by way of a residential close support unit providing education and/or care in a residential and day care resource.,"c/o McSparran McCormick, 19 Waterloo Street, Glasgow",,2190311,2294134,2020,31/03/2020,0,2190311,0,0,0,0,2294134,0,,,,No,Standard,Invalid or no website
SC043873,The Agnes Watt Trust Fund,19/03/2013 00:00,,Active,,FK1 5QF,Trust (founding document is a deed of trust) (other than educational endowment),,More than one local authority area in Scotland,Falkirk,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The saving of lives','The advancement of public participation in sport','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The advancement of environmental protection or improvement','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'No specific group, or for the benefit of the community','Other charities / voluntary bodies'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","a) the prevention or relief of poverty;  b) the relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage;  c) the advancement of education;  d) the advancement of health,  e) the saving of lives f) the provision of recreational facilities or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are mainly intended;  g) the advancement of public participation in sport h) the advancement of environmental protection or improvement including the preservation of buildings and other items of local or historic interest;  i) the advancement or support or assistance of such other charity or charities, and/or charitable body or bodies in Scotland as may have charitable purposes similar to or the same as the Trust Purposes of the Trust, as the Trustees shall in their entire discretion select","1 Majors Loan, Falkirk",,72480,56519,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043889,Zone Out Partnership,25/03/2013 00:00,,Active,,G66 1NZ,Company (the charity is registered with Companies House),,UK and overseas,Glasgow City,"'The advancement of education','The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'",'Children / young people','It carries out activities or services itself',"5.1 The advancement of citizenship or community development particularly through the provision of information, training, assistance and support to persons interested in volunteering to enable such persons to play an active role in volunteering within the United Kingdom and abroad; 5.2 The advancement of education particularly through the development of learning, training, volunteering and intercultural dialogue by way of educational exchange programmes; and 5.3 The provision of recreational facilities, or the organization of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended.","66 Townhead, mid level, Kirkintilloch, Glasgow",,76115,87150,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043896,Scottish Borders Council Charitable Trusts,27/03/2013 00:00,,Active,,TD6 0SA,Trust (founding document is a deed of trust) (other than educational endowment),,"Wider, but within one local authority area",Scottish Borders,"'The prevention or relief of poverty','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Older people','People with disabilities or health problems','Other defined groups'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The prevention or relief of poverty The relief of those in need by reason of age, ill health, disability, financial hardship, or other disadvantage","Scottish Borders Council, Council HQ, Newtown St Boswells, Melrose",https://www.scotborders.gov.uk/site/,37172,12371,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043914,West Calder and Harburn Community Development Trust Ltd,08/04/2013 00:00,,Active,,EH55 8DZ,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",West Lothian,"'The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The advancement of environmental protection or improvement'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"1The company has been formed to benefit the community of West Calder and Harburn which comprises the postcode unit(s) set out in the appendix with full post code references  (?the Community?) with the following objects:  (a)To advance citizenship and/or community development (including the  promotion of civic responsibility and the promotion of the voluntary sector and/or the effectiveness or efficiency of charities). (b)To provide within the Community recreational facilities, or organise recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended. (c)To advance environmental protection and improvement  in the Community through the provision, maintenance and/or improvement of public open space and other public amenities and other environmental and regeneration projects (but subject to appropriate safeguards to ensure that the public benefits so arising clearly outweigh any private benefit thereby conferred on private landowners) (d)To advance heritage and/ or preserve, for the benefit of the general public, the historical, architectural and constructional heritage that may exist in and around the the Community in buildings (including any structure or erection, and any part of a building as so defined) of particular beauty or historical, architectural or constructional interest.","West Calder Community Centre, Dickson Street, West Calder, West Lothian",none,452662,474367,2020,30/04/2020,0,452662,0,0,0,0,474367,0,,,,No,Standard,Invalid or no website
SC043961,Faces & Voices of Recovery UK,24/04/2013 00:00,Faces & Voices of Recovery UK (Home of the UK Recovery Walk) ,Active,,G20 6PL,SCIO (Scottish Charitable Incorporated Organisation),,Scotland and other parts of the UK,Glasgow City,"'The advancement of education','The advancement of health','The saving of lives','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'People with disabilities or health problems','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"4 The organisation's purposes are: - To promote the saving of lives and advancement of health by encouraging, empowering and educating people in recovery from addiction as well as those affected by addiction.  - To provide relief to those in recovery whose sustained recovery may be affected by reason of age, ill-health, disability, financial hardship or other disadvantage and strive to alleviate these.  And in furtherance thereof: - To raise funds to support the above.  To promote, plan and deliver a national UK Recovery Walk/Event in each year.  - To give a voice & face to recovering people and provide support and information on where to get support to help people enter recovery and progress their lives, free from addiction.  - Promote other recovery activities to take place each year.  - To engage in activities year round that promote the annual UK walk throughout the UK and further afield where appropriate. - To work with appropriate local, regional and national organisations, services, political and governmental bodies to highlight and promote recovery ","3 Kelvinside Grove, 2/2, Glasgow",3 Kelvinside Grove 2/2,52291,52222,2020,30/04/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043970,The PARS Foundation,26/04/2013 00:00,,Active,,KY12 7RB,SCIO (Scottish Charitable Incorporated Organisation),,"Wider, but within one local authority area",Fife,'The advancement of public participation in sport','Children / young people','It carries out activities or services itself',"The organisation is established for charitable purposes only, and in particular, the objects are: 4.1 to advance public participation in sport, specifically football;","The Pars Foundation, East End Park, Halbeath Road, Dunfermline",,164094,182365,2020,30/04/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC043982,Hamilton District Food Bank,01/05/2013 10:00,,Active,,ML3 6EE,SCIO (Scottish Charitable Incorporated Organisation),,"Wider, but within one local authority area",South Lanarkshire,"'The prevention or relief of poverty','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The Hamilton District Food Bank objects are: (a) The Prevention or relief of poverty. (b) The relief of those of need by reason of age, ill-health, disability, financial hardship or other disadvantage.","13-15 Cadzow Street, Hamilton",,89999,41258,2020,31/05/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044034,Northfield Community Learning Association SCIO,29/05/2013 00:00,,Active,,AB16 7LL,SCIO (Scottish Charitable Incorporated Organisation),,"A specific local point, community or neighbourhood",Aberdeen,"'The advancement of education','The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"4 The organisation's purposes are; In the Northfield area of the City of Aberdeen and its environs;  4.1 To provide recreational facilities, and organise recreational activities with such facilities/ activities being made available to members of the public at large with the object of improving their conditions of life; 4.2 To advance citizenship and/or community development (which may include the promotion of civic responsibility and/or volunteering); 4.3 to advance education and to provide or assist in the provision of facilities for learning opportunities ","Northfield Community Centre, Byron Square, Aberdeen",,42170,44522,2021,31/03/2021,,,,,,,,,,,,No,Standard,Invalid or no website
SC044035,Cambusbarron Community Out of School Club,29/05/2013 15:47,Community Out of School Club or COSC,Active,,FK7 9NU,SCIO (Scottish Charitable Incorporated Organisation),,"A specific local point, community or neighbourhood",Stirling,"'The advancement of education','The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'",'Children / young people','It carries out activities or services itself',"i) the advancement of education: the provision of creative, artistic and physical play and learning opportunities. ii) the advancement of citizenship or community development: fostering a 'community' ethos that links the OOSC with the Cambusbarron community through the co-operation of parents and local organisational partners; fund raising and related activities; and opportunities for local volunteer skill development. iii) the provision of recreational facilities: access to indoor and outdoor spaces to achieve the above. ","The Church Hall, Cambusbarron Parish Church (The Bruce Memorial), St Ninian's Road, Cambusbarron, Stirling ",,44760,44359,2020,30/06/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044040,The Dundee Botanic Garden Endowment Trust,30/05/2013 00:00,,Active,,DD5 1DN,Trust (founding document is a deed of trust) (other than educational endowment),,"A specific local point, community or neighbourhood",Dundee City,"'The advancement of education','The advancement of health','The advancement of the arts, heritage, culture or science','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The advancement of environmental protection or improvement'","'No specific group, or for the benefit of the community','Other charities / voluntary bodies'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","(i) the advancement of education and scientific research in, and the provision of equipment and facilities for, botany, zoology, physics, chemistry, horticulture, arboriculture, silviculture, medicine, engineering  and the environment, and similar or related disciplines; and (ii) the advancement of environmental conservation, protection and improvement; (iii) the advancement of architecture, design and the arts; and (iv) the advancement of health and wellbeing; and (v) the provision of recreational facilities, or the organisation of recreational activities.","59D Brook Street, Broughty Ferry, Dundee, Angus",,34446,53378,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044059,Tenterhooks SCIO,06/06/2013 12:27,,Active,,PA23 8RY,SCIO (Scottish Charitable Incorporated Organisation),,UK and overseas,Argyll & Bute,"'The advancement of education','The advancement of the arts, heritage, culture or science'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"6i To advance the arts by creating, producing and delivering innovative performance projects in collaboration with groups and communities. 6ii To advance education by teaching and learning with communities and groups to develop the skills to create finished works of art, build confidence, nurture achievement and set the foundations for future and lifelong learning.   6iii To advance the arts by collaborating with highly-skilled practitioners in a variety of artistic fields.  ","Ardluing, Kilmun, Argyll",,41175,35978,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044061,The Glasgow School of Art Students Association,07/06/2013 00:00,GSASA,Active,,G3 6PE,SCIO (Scottish Charitable Incorporated Organisation),,"Wider, but within one local authority area",Glasgow City,"'The advancement of education','The advancement of the arts, heritage, culture or science','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'",'Other defined groups','It carries out activities or services itself',"5.1 The Association shall be the Students? Association of The Glasgow School of Art and shall promote the welfare and interests of the students of the School.  5.2 The Association is established for charitable purposes only, and in particular, its objects (?Objects?) shall be (i) the advancement of education; (ii) the advancement of the arts, science or heritage and culture and (iii) the provision of recreational facilities or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended.  5.3 In pursuance thereof, the Association, for the public benefit, shall seek:  5.3.1 to promote the welfare and interests of the Members; 5.3.2 to provide a forum for Member?s opinions, an active social space, a network for creative development and a venue for entertainment;  5.3.3 to support the opinions, interests and activities of the Members; 5.3.4 to improve services for and support all of its Members; and 5.3.5 do all things which are lawful to promote the Objects. ","Glasgow School of Art Students' Association, 20 Scott Street, Glasgow",,323795,216530,2020,31/07/2020,323295,500,0,0,0,0,216530,0,,,,No,Standard,Invalid or no website
SC044077,Glasgow Afghan United,14/06/2013 10:54,GAU,Active,,G20 8ND,Unincorporated association,,"Wider, but within one local authority area",Glasgow City,"'The prevention or relief of poverty','The advancement of citizenship or community development','The promotion of religious or racial harmony','The promotion of equality and diversity'","'People of a particular ethnic or racial origin','Other charities / voluntary bodies'",'It carries out activities or services itself',"1. To advance citizenship and the contribution of the Afghani community in Glasgow through  promoting equality & diversity, active citizenship and assisting in removing barriers (e.g. language, discrimination and exclusion) of the Afghani community and through empowering an active role locally and building direct links between local disadvantaged communities and policy makers addressing areas of support in relation to Sport, Health, Housing, Education and overall welfare of these communities. 2. To relieve poverty through building capacity, skills and confidence of members of the Afghani community for independent living, including but not exclusive to budget management, English as a second language, cookery and accessibility to recreational activities and local services provided free of charge by the Local Authority. 3. To promote racial harmony between local residents and the Afghan community through community work and community integration which will build relationships promoting mutual understanding, respect and dignity for all.","Flat 1/2, 19 Hathaway Lane, Glasgow",,51957,54603,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044084,Condor Playgroup,18/06/2013 00:00,,Not Submitted,,DD112lx,SCIO (Scottish Charitable Incorporated Organisation),,"A specific local point, community or neighbourhood",Angus,'The advancement of education','Children / young people','It carries out activities or services itself',"The organisation's purposes are: To advance the education and social development of pre-school children with the emphasis on the play experience, so that they become successful learners, confident individuals, responsible citizens and effective contributors, and take a constructive place in the community and also to develop and enhance the education of their parents, carers and other appropriate persons. In furtherance of the above aims the group shall seek: a To provide safe and satisfying group play and learning. b To encourage other charitable activities through which the parents may support the development of children. ","107 Patrick Allan Fraser Street, Arbroath",,70166,60981,2018,30/09/2018,,,,,,,,,,,,No,Standard,Invalid or no website
SC044087,Levenmouth Foodbank Community Support Project,18/06/2013 00:00,LFCSP,Active,,KY8 4PH,SCIO (Scottish Charitable Incorporated Organisation),,"Wider, but within one local authority area",Fife,"'The prevention or relief of poverty','The advancement of citizenship or community development'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The prevention or relief of poverty in the Levenmouth area, in particular, but not exclusively by providing emergency food supplies to individuals in need and / or charities or other organizations working to prevent or relieve poverty. To promote, establish, or operate other projects with any other similar / related purposes and to support other projects and initiatives with charitable purposes. To advance citizenship and community development, by encouraging volunteering within the organization. ","Incharvie, Promenade, Leven, Fife",,127179,65592,2020,30/09/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044092,The Newtown Park Association Limited,20/06/2013 00:00,,Active,,EH51 9AE,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",West Lothian,"'The advancement of education','The advancement of citizenship or community development','The advancement of public participation in sport','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"(a)  to acquire outright, or as trustees, for the benefit of the people of Bo'ness, West Lothian and environs ('Community'), and to develop, improve, utilise, let out and generally make available, ground and facilities at Newtown Park, Bo'ness, and elsewhere; (b) to provide the Community with a community inspired, developed and managed facility, to help people of all ages develop sporting, social and life skills; (c) to provide new, and enhance existing opportunities for the public to participate in football and other sport and recreational activities; (d) to provide and organise recreational facilities with the object of improving the conditions of life for the Community and other members of the public; (e) to encourage community development and involvement, strengthen community cohesion and become a focal point for a range of Community based activities and programmes; (f) to provide learning and educational development opportunities for young people and other  members of the public; and (g) to make a positive impact on social targets such as improving health and fitness. ","13 Register Street, Bo'ness, West Lothian",,44915,43349,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044094,Urras Coimhearsnachd Bhradhagair agus Arnoil (Bragar & Arnol Community Trust),21/06/2013 00:00,,Active,,HS2 9DA,SCIO (Scottish Charitable Incorporated Organisation),,"A specific local point, community or neighbourhood",Western Isles,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development'","'Children / young people','Older people','People with disabilities or health problems'",'It carries out activities or services itself',"4.1 To provide recreational and social facilities and economic activities to improve the lives of the inhabitants in Bragar and Arnol and their encompassed areas through the  preservation, management and development for community use of the former Bragar School buildings and grounds. 4.2 To advance citizenship and community development and in particular the regeneration and improvement of the physical, social and economic infrastructure of the area through assisting people disadvantaged because of social and economic circumstance, promoting voluntary action and encouraging civic values. 4.3 To advance the arts, heritage, language and culture of the area through exhibitions, providing facilities and other community led services. 4.4 To advance education through encouraging a better understanding of the built and natural environment of the area; and through community capacity building and the development of individual skills and capabilities to improve the lives of the inhabitants of the area and the public in general. 4.5 To provide for the relief of poverty in all its forms and to promote improvement in the health of the individuals in the area, through services and provisions arising from the development of the facilities in the area and in particular at or around the former school. 4.6 To support where possible charitable institutions with related purposes by fostering a community spirit for these and other such purposes as may by law be deemed to be charitable.","Grinneabhat, North Bragar, Isle of Lewis",,1357490,63272,2020,30/06/2020,140,1340929,16291,130,0,0,63272,0,,,,No,Standard,Invalid or no website
SC044117,Borders Sculpture Park,04/07/2013 00:00,,Active,,EH3 9EE,Company (the charity is registered with Companies House),,One or a few bases or facilities serving people who come from a broad area,Scottish Borders,"'The advancement of the arts, heritage, culture or science','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"4.1 The objects of the Trust are:- (a) the advancement of education in relation to art and culture in Scotland and elsewhere, but in particular in the Scottish Borders region, by the provision of access to and facilities for the study, learning and practice of the arts in general, but with particular regard to sculpture, painting and other visual outdoor arts; (b) the advancement of the arts, particularly the visual arts, for the benefit of the public in Scotland and internationally, but in particular in the Scottish Borders region, by developing public appreciation of the arts and by improving public access to and the quality of the arts; (c) the advancement of the arts, heritage and culture in general in Scotland and internationally, particularly but not limited to the preservation, conservation and public display of collections of sculpture, paintings and other artworks and associated material, for the benefit of the public; (d) the advancement of arts, heritage and culture in general in Scotland and internationally, particularly but not limited to the preservation and conservation of the natural landscape which may become vested in the Trustees on in respect of which the Trustees may have an interest .and which would further the aforementioned objects of the Trust; (e) the provision of recreational facilities in Scotland and in particular the Scottish Borders region, particularly but not limited to the creation of pathways, walkways, cycle paths and play parks on. such natural landscape which may become vested in the Trustees on in respect of which the Trustees may have an interest and which would further the aforementioned objects of the Trust; (f) to promote such similar charitable purposes, objects or institutions in such proportions and manner as the Trustees shall think fit. ","Turcan Connell, Princes Exchange, 1 Earl Grey Street",,43100,31440,2020,05/04/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044165,The Clyde FC Community Foundation,23/07/2013 00:00,,Active,,G68 9NE,Company (the charity is registered with Companies House),,More than one local authority area in Scotland,North Lanarkshire,"'The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of public participation in sport','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Older people','People with disabilities or health problems','Other defined groups','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"3.1 To advance public participation in sport in Scotland through the promotion of participation in football and other sports which involve physical skill and exertion. by any means including providing coaching and development.  3.2 To advance health in Scotland by the promotion of the benefits of physical activity, provision of assistance in relation to sponsor related and healthy lifestyle matters. and the promotion of good mental health.  3.3 To promote community development and equality and diversity in Scotland by encouraging participation in sports, activities and programmes which bring together a cross section of the  community, encouraging all to participate, regardless of background or ability.  3.4 To provide recreational facilities, or organise recreational activities, with the object of improving the conditions of life for the public at large and also for those who have need of such facilities or would benefit from such activities by reason of their youth, age. Infirmity or disablement, financial hardship or social and economic circumstances.  3.5 To advance education in the community in Scotland, particularly in relation to health and fitness, sporting activity and life skills; through providing or organising educational, training and lifelong learning opportunities.","Ardgoil Drive, Cumbernauld",,180342,163889,2020,30/04/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC044208,Provost James Rae Trust,20/08/2013 12:12,,Not Submitted,,EH3 9EE,Trust (founding document is a deed of trust) (other than educational endowment),,Operations cover all or most of Scotland,City of Edinburgh,"'The advancement of education','The advancement of the arts, heritage, culture or science'","'Children / young people','No specific group, or for the benefit of the community','Other charities / voluntary bodies'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The Trustees shall hold the Trust Fund and the income of it to pay and apply the same in such proportions and manner as the Trustees shall determine for the advancement of the arts, heritage and culture or for the advancement of education to include financially supporting young artists, emerging artists of any age and struggling artists working in Scotland well as facilitating exhibitions of the work of artists working in Scotland.' The Trustees shall have the discretion to hold and apply the Trust Fund for such other similar charitable purposes as they deem to be appropriate. In exercising their discretion in terms of this Clause the Trustees shall give primary consideration to the wishes of those persons who donate, gift or lend funds to the Trust but this proviso shall impose no binding obligation on the Trustees. ","Princes Exchange , 1 Earl Grey Street , Edinburgh ",,89357,13342,2019,31/03/2019,,,,,,,,,,,,No,Standard,Invalid or no website
